escopo_autuacao;mes;uf;amparo_legal;descricao_infracao;quantidade_autos
CMT - Capacidade Máxima de Tração;JANEIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT em até 600 kg;1
CMT - Capacidade Máxima de Tração;JANEIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;2
CMT - Capacidade Máxima de Tração;JANEIRO;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;2
CMT - Capacidade Máxima de Tração;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;3
CMT - Capacidade Máxima de Tração;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT em até 600 kg;5
CMT - Capacidade Máxima de Tração;JANEIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;3
Evasão de Balança;JANEIRO;ES;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;41
Evasão de Balança;JANEIRO;RJ;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;6330
Evasão de Balança;JANEIRO;SP;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;422
Excesso de Peso;JANEIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;69
Excesso de Peso;JANEIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;95
Excesso de Peso;JANEIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;939
Excesso de Peso;JANEIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;57
Excesso de Peso;JANEIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;172
Excesso de Peso;JANEIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;809
Excesso de Peso;JANEIRO;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;7
Excesso de Peso;JANEIRO;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;41
Excesso de Peso;JANEIRO;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;83
Excesso de Peso;JANEIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;33
Excesso de Peso;JANEIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;58
Excesso de Peso;JANEIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;364
Excesso de Peso;JANEIRO;RJ;;Transitar com o veículo com excesso de peso - Por Eixo;1
Excesso de Peso;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;307
Excesso de Peso;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;435
Excesso de Peso;JANEIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;2991
Excesso de Peso;JANEIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;10
Excesso de Peso;JANEIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;17
Excesso de Peso;JANEIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;154
Excesso de Peso;JANEIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;51
Excesso de Peso;JANEIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;113
Excesso de Peso;JANEIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;478
Excesso de Peso;JANEIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;46
Excesso de Peso;JANEIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;66
Excesso de Peso;JANEIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;443
CMT - Capacidade Máxima de Tração;FEVEREIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;1
CMT - Capacidade Máxima de Tração;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;3
CMT - Capacidade Máxima de Tração;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT em até 600 kg;4
CMT - Capacidade Máxima de Tração;FEVEREIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;2
Evasão de Balança;FEVEREIRO;ES;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;762
Evasão de Balança;FEVEREIRO;RJ;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;6508
Evasão de Balança;FEVEREIRO;SP;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;395
Excesso de Peso;FEVEREIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;89
Excesso de Peso;FEVEREIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;106
Excesso de Peso;FEVEREIRO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;816
Excesso de Peso;FEVEREIRO;GO;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;1
Excesso de Peso;FEVEREIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;32
Excesso de Peso;FEVEREIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;84
Excesso de Peso;FEVEREIRO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;347
Excesso de Peso;FEVEREIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;51
Excesso de Peso;FEVEREIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;81
Excesso de Peso;FEVEREIRO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;414
Excesso de Peso;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;276
Excesso de Peso;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;400
Excesso de Peso;FEVEREIRO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;3275
Excesso de Peso;FEVEREIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;17
Excesso de Peso;FEVEREIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;33
Excesso de Peso;FEVEREIRO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;339
Excesso de Peso;FEVEREIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;61
Excesso de Peso;FEVEREIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;154
Excesso de Peso;FEVEREIRO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;626
Excesso de Peso;FEVEREIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;50
Excesso de Peso;FEVEREIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;55
Excesso de Peso;FEVEREIRO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;386
CMT - Capacidade Máxima de Tração;MARÇO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT em até 600 kg;2
CMT - Capacidade Máxima de Tração;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;3
CMT - Capacidade Máxima de Tração;MARÇO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;MARÇO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;2
Evasão de Balança;MARÇO;ES;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;631
Evasão de Balança;MARÇO;RJ;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;6943
Evasão de Balança;MARÇO;SP;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;1074
Excesso de Peso;MARÇO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;103
Excesso de Peso;MARÇO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;125
Excesso de Peso;MARÇO;ES;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;1155
Excesso de Peso;MARÇO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;33
Excesso de Peso;MARÇO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;78
Excesso de Peso;MARÇO;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;495
Excesso de Peso;MARÇO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;31
Excesso de Peso;MARÇO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;59
Excesso de Peso;MARÇO;PR;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;363
Excesso de Peso;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;406
Excesso de Peso;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;453
Excesso de Peso;MARÇO;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;3437
Excesso de Peso;MARÇO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;12
Excesso de Peso;MARÇO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;26
Excesso de Peso;MARÇO;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;418
Excesso de Peso;MARÇO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;81
Excesso de Peso;MARÇO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;207
Excesso de Peso;MARÇO;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;839
Excesso de Peso;MARÇO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC;46
Excesso de Peso;MARÇO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;74
Excesso de Peso;MARÇO;SP;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo com excesso de peso - Por Eixo;488
CMT - Capacidade Máxima de Tração;ABRIL;MG;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;3
CMT - Capacidade Máxima de Tração;ABRIL;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;MS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT em até 600 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;RJ;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT entre 601 e 1000 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;RS;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;1
CMT - Capacidade Máxima de Tração;ABRIL;SC;Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ;Transitar com o veículo excedendo a CMT acima de 1000 kg;2
Evasão de Balança;ABRIL;ES;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;385
Evasão de Balança;ABRIL;GO;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;347
Evasão de Balança;ABRIL;MG;Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.;Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos;233
